sales_year,manufacturer,model_original,model_key,domestic_sales_count,verification_status,source_url,loaded_at
2020,기아,EV3,KIA_EV3,,보완필요,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,EV3,KIA_EV3,,보완필요,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,EV3,KIA_EV3,,보완필요,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,EV3,KIA_EV3,,보완필요,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,EV3,KIA_EV3,12851.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,EV3,KIA_EV3,21212.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,EV6,KIA_EV6,,보완필요,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,EV6,KIA_EV6,,보완필요,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,EV6,KIA_EV6,,보완필요,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,EV6,KIA_EV6,17227.0,공식자료,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,EV6,KIA_EV6,,보완필요,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,EV6,KIA_EV6,,보완필요,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,K3,KIA_K3,,보완필요,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,K3,KIA_K3,,보완필요,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,K3,KIA_K3,,보완필요,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,K3,KIA_K3,13204.0,공식자료,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,K3,KIA_K3,,보완필요,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,K3,KIA_K3,,보완필요,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,K5,KIA_K5,84550.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,K5,KIA_K5,59499.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,K5,KIA_K5,31498.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,K5,KIA_K5,34579.0,공식자료,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,K5,KIA_K5,33837.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,K5,KIA_K5,36598.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,K7,KIA_K7,41048.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,K7,KIA_K7,,보완필요,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,K7,KIA_K7,,보완필요,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,K7,KIA_K7,,보완필요,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,K7,KIA_K7,,보완필요,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,K7,KIA_K7,,보완필요,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,K8,KIA_K8,,보완필요,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,K8,KIA_K8,46741.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,K8,KIA_K8,45650.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,K8,KIA_K8,40437.0,공식자료,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,K8,KIA_K8,32734.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,K8,KIA_K8,28154.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,니로,KIA_NIRO,21239.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
2021,기아,니로,KIA_NIRO,,보완필요,https://www.newswire.co.kr/newsRead.php?no=937543,2026-08-24
2022,기아,니로,KIA_NIRO,,보완필요,https://www.newswire.co.kr/newsRead.php?no=959122,2026-08-24
2023,기아,니로,KIA_NIRO,23475.0,공식자료,https://www.hyundaimotorgroup.com/ko/amp/CONT0000000000128738,2026-08-24
2024,기아,니로,KIA_NIRO,14978.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000167224,2026-08-24
2025,기아,니로,KIA_NIRO,13600.0,공식자료,https://www.hyundaimotorgroup.com/ko/news/kia-2025-sales-3135803-units,2026-08-24
2020,기아,레이,KIA_RAY,28530.0,공식자료,https://www.newswire.co.kr/newsRead.php?no=916788,2026-08-24
