report_date,manufacturer,model_original,model_year,model_key,source_url,loaded_at
2020-01-16,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,기아자동차(주),K7,2020,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,기아자동차(주),K7,2016,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,기아자동차(주),쏘렌토,2018,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,현대자동차(주),싼타페(SANTAFE),2019,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,현대자동차(주),싼타페(SANTAFE),2015,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,현대자동차(주),쏘나타(SONATA),2015,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),카니발,2019,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),K3,2020,KIA_K3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),K5,2017,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),레이,2012,KIA_RAY,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),쏘렌토,2016,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-17,기아자동차(주),쏘렌토,2020,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),그랜저 하이브리드(GRANDEUR HYBRID),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),그랜저(GRANDEUR),2014,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),그랜저(GRANDEUR),2015,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),그랜저(GRANDEUR),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),팰리세이드(PALISADE),2019,HYU_PALISADE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),쏘나타(SONATA),2020,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,현대자동차(주),쏘나타(SONATA),2020,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,기아자동차(주),카니발,2018,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,기아자동차(주),K5,2015,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,기아자동차(주),K7,2018,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-20,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,현대자동차(주),아반떼 스포츠(AVANTE SPORT),2017,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,현대자동차(주),그랜저 하이브리드,2018,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,현대자동차(주),그랜저(GRANDEUR),2019,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,현대자동차(주),그랜저(GRANDEUR),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,현대자동차(주),그랜저(GRANDEUR),2011,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,기아자동차(주),K7,2017,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-21,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,현대자동차(주),그랜저(GRANDEUR),2013,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,현대자동차(주),싼타페(SANTAFE),2019,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,현대자동차(주),쏘나타 (SONATA),2010,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,현대자동차(주),쏘나타(SONATA),2006,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,기아자동차(주),봉고Ⅲ 1.2톤,2020,KIA_BONGO3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,기아자동차(주),K5,2016,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-22,기아자동차(주),K7,2017,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-23,현대자동차(주),아반떼 하이브리드(AVANTE HYBRID),2010,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-23,현대자동차(주),그랜저 하이브리드(GRANDEUR HYBRID),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-23,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2018,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-23,기아자동차(주),K7,2012,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-23,기아자동차(주),K7,2016,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-23,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,현대자동차(주),아반떼 (AVANTE),2012,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,현대자동차(주),그랜저(GRANDEUR),2016,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,현대자동차(주),팰리세이드(PALISADE),2019,HYU_PALISADE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,현대자동차(주),쏘나타 (SONATA),2012,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,기아자동차(주),카니발,2016,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,기아자동차(주),K5 하이브리드,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-28,기아자동차(주),쏘렌토,2013,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,현대자동차(주),그랜저(GRANDEUR),2014,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,현대자동차(주),쏘나타(SONATA),2016,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,현대자동차(주),쏘나타(SONATA),2016,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,기아자동차(주),봉고Ⅲ 1톤,2020,KIA_BONGO3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,기아자동차(주),K5,2013,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-29,기아자동차(주),K5 하이브리드,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,현대자동차(주),그랜저 하이브리드,2019,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,현대자동차(주),그랜저(GRANDEUR),2015,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,현대자동차(주),그랜저(GRANDEUR),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019,HYU_KONA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,현대자동차(주),쏘나타 (SONATA),2012,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,현대자동차(주),쏘나타(SONATA),2005,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K5,2012,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K5,2014,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K7,2014,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K7,2020,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K7,2017,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K7,2012,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-30,기아자동차(주),K7,2018,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,현대자동차(주),그랜저(GRANDEUR),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,현대자동차(주),그랜저(GRANDEUR),2019,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,현대자동차(주),그랜저(GRANDEUR),2014,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,현대자동차(주),쏘나타 (SONATA),2010,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,현대자동차(주),쏘나타(SONATA),2020,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,기아자동차(주),K3,2020,KIA_K3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,기아자동차(주),K3,2019,KIA_K3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,기아자동차(주),K5,2019,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-31,기아자동차(주),니로 하이브리드,2018,KIA_NIRO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,현대자동차(주),그랜저 하이브리드(GRANDEUR HYBRID),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,현대자동차(주),포터Ⅱ (PORTERⅡ),2019,HYU_PORTER,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,현대자동차(주),싼타페(SANTAFE),2011,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,현대자동차(주),싼타페(SANTAFE),2016,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,현대자동차(주),투싼(TUCSON),2019,HYU_TUCSON,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,기아자동차(주),K5,2016,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,기아자동차(주),K5 하이브리드,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,기아자동차(주),레이,2012,KIA_RAY,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-03,기아자동차(주),스포티지,2016,KIA_SPORTAGE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),그랜저(GRANDEUR),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),그랜저(GRANDEUR),2011,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),싼타페(SANTAFE),2019,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),쏘나타 (SONATA),2010,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),쏘나타(SONATA),2012,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,현대자동차(주),투싼(TUCSON),2010,HYU_TUCSON,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,기아자동차(주),K7,2013,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-04,기아자동차(주),K7,2012,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,현대자동차(주),아반떼 (AVANTE),2014,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,현대자동차(주),그랜저 하이브리드(GRANDEUR HYBRID),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,현대자동차(주),팰리세이드(PALISADE),2020,HYU_PALISADE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,현대자동차(주),쏘나타 (SONATA),2010,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,현대자동차(주),쏘나타(SONATA),2017,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,기아자동차(주),K7,2020,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,기아자동차(주),K7 하이브리드,2018,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-05,기아자동차(주),스포티지,2019,KIA_SPORTAGE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,현대자동차(주),아반떼(AVANTE),2007,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,기아자동차(주),K5,2014,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-06,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-07,현대자동차(주),팰리세이드(PALISADE),2020,HYU_PALISADE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-07,기아자동차(주),그랜드 카니발,2012,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-07,기아자동차(주),K5,2013,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-10,현대자동차(주),쏘나타(SONATA),2017,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-10,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-10,기아자동차(주),K7 하이브리드,2020,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-10,기아자동차(주),쏘렌토,2020,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-10,기아자동차(주),쏘렌토,2017,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-11,현대자동차(주),그랜저(GRANDEUR),2012,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-11,현대자동차(주),그랜드 스타렉스(GRAND STAREX),2013,HYU_GRAND_STAREX,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-11,현대자동차(주),코나 일렉트릭 (KONA ELECTRIC),2019,HYU_KONA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-11,현대자동차(주),포터Ⅱ (PORTERⅡ),2020,HYU_PORTER,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-11,기아자동차(주),쏘렌토,2020,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-12,현대자동차(주),아반떼 하이브리드(AVANTE HYBRID),2012,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-12,현대자동차(주),그랜저(GRANDEUR),2019,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-12,현대자동차(주),싼타페(SANTAFE),2020,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-12,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-12,기아자동차(주),쏘렌토,2011,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-13,현대자동차(주),아반떼 (AVANTE),2012,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-13,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-13,현대자동차(주),쏘나타 (SONATA),2010,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-13,현대자동차(주),투싼(TUCSON),2016,HYU_TUCSON,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-13,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-02-14,현대자동차(주),쏘나타(SONATA),2015,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
