report_date,manufacturer,model_original,model_year,model_key,source_url,loaded_at
2020-01-02,현대자동차(주),싼타페(SANTAFE),2020,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-02,현대자동차(주),쏘나타(SONATA),2016,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-02,기아자동차(주),카니발,2019,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-02,기아자동차(주),K3,2019,KIA_K3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-02,기아자동차(주),K7,2019,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-02,기아자동차(주),쏘렌토,2018,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-03,기아자동차(주),카니발 리무진,2016,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-03,기아자동차(주),K3,2019,KIA_K3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-03,기아자동차(주),레이,2015,KIA_RAY,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-03,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,현대자동차(주),포터Ⅱ (PORTERⅡ),2010,HYU_PORTER,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,현대자동차(주),쏘나타(SONATA),2013,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,기아자동차(주),K5,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,기아자동차(주),K5,2013,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,기아자동차(주),K7,2016,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-06,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),아반떼(AVANTE),2016,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),그랜저 하이브리드,2019,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),그랜저(GRANDEUR),2020,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),포터Ⅱ윙바디 (PORTER Ⅱ),2020,HYU_PORTER,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),포터Ⅱ윙바디 (PORTER Ⅱ),2020,HYU_PORTER,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),포터Ⅱ트랜스파워게이트 (PORTER Ⅱ),2017,HYU_PORTER,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,현대자동차(주),싼타페(SANTAFE),2008,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,기아자동차(주),K5,2016,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-07,기아자동차(주),K7,2020,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-08,현대자동차(주),아반떼 하이브리드(AVANTE HYBRID),2010,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-08,기아자동차(주),K3,2014,KIA_K3,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-08,기아자동차(주),K5,2011,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-08,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-09,현대자동차(주),아반떼 하이브리드(AVANTE HYBRID),2011,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-09,현대자동차(주),쏘나타(SONATA),2015,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-09,기아자동차(주),쏘렌토,2016,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-10,현대자동차(주),싼타페(SANTAFE),2010,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-10,현대자동차(주),쏘나타(SONATA),2016,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-10,기아자동차(주),K5,2012,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-10,기아자동차(주),모닝,2020,KIA_MORNING,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-10,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,현대자동차(주),아반떼(AVANTE),2011,HYU_AVANTE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,현대자동차(주),그랜저(GRANDEUR),2019,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,현대자동차(주),쏘나타 (SONATA),2011,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,현대자동차(주),쏘나타(SONATA),2020,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,현대자동차(주),투싼(TUCSON),2016,HYU_TUCSON,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,기아자동차(주),K5,2014,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,기아자동차(주),셀토스,2020,KIA_SELTOS,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,기아자동차(주),쏘렌토,2020,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-13,기아자동차(주),쏘렌토,2015,KIA_SORENTO,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-14,현대자동차(주),그랜저(GRANDEUR),2015,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-14,현대자동차(주),쏘나타 (SONATA),2010,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-14,기아자동차(주),카니발,2019,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-14,기아자동차(주),카니발,2008,KIA_CARNIVAL,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-14,기아자동차(주),K7,2012,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-14,기아자동차(주),K7 하이브리드,2019,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-15,현대자동차(주),투싼(TUCSON),2016,HYU_TUCSON,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-15,현대자동차(주),투싼(TUCSON),2016,HYU_TUCSON,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-15,기아자동차(주),K5 하이브리드,2020,KIA_K5,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-15,기아자동차(주),K7,2019,KIA_K7,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,현대자동차(주),그랜저(GRANDEUR),2006,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,현대자동차(주),그랜저(GRANDEUR),2015,HYU_GRANDEUR,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,현대자동차(주),싼타페(SANTAFE),2013,HYU_SANTAFE,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,현대자동차(주),쏘나타(SONATA),2012,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
2020-01-16,현대자동차(주),쏘나타(SONATA),2016,HYU_SONATA,https://www.data.go.kr/data/15016450/fileData.do,2026-08-24
