stat_year,stat_month,dimension_type,dimension_value,registration_count,source_url,loaded_at
2026,7,TOTAL,전국,26692775,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,서울,3151939,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,전남광주,2072135,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,부산,1588313,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,대구,1268902,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,인천,1759385,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,대전,750240,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,울산,613664,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,세종,206085,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,경기,6777673,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,충북,965987,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,충남,1302089,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,경북,1572596,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,경남,2037019,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
2026,7,REGION,제주,731818,https://stat.molit.go.kr/portal/cate/statView.do?hRsId=58&hFormId=5498&hDivEng=&month_yn=,2026-08-23
