recall_id,manufacturer,model_original,model_key,production_from,production_to,recall_start_date,recall_count,recall_reason,recall_category,source_url,official_check_url,loaded_at
REC-666AF59C490A225B,현대자동차,그랜저(HG),HYU_GRANDEUR,2011-01-03,2014-10-31,2024-09-27,348543,일부 차량에 전자제어유압장치(HECU) 내부 밀폐성능 저하 등으로 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손이 발생할 가능성이 있는 결함,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-1C98B1184CBDCBAA,현대자동차,쏘나타 하이브리드(YFE),HYU_SONATA,2011-02-15,2014-10-31,2024-09-27,41897,일부 차량에 전자제어유압장치(HECU) 내부 밀폐성능 저하 등으로 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손이 발생할 가능성이 있는 결함,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-B260C8D5A1DB240F,현대자동차,싼타페(DM),HYU_SANTAFE,2011-12-08,2014-10-31,2024-09-27,203793,일부 차량에 전자제어유압장치(HECU) 내부 밀폐성능 저하 등으로 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손이 발생할 가능성이 있는 결함,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-A68A83D3CE0284EF,현대자동차,그랜드스타렉스(TQ),HYU_GRAND_STAREX,2006-10-18,2014-10-31,2024-10-25,61562,일부 차량에 전자제어유압장치(HECU) 내부 밀폐성능 저하 등으로 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손이 발생할 가능성이 있는 결함,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-62E0DFC39962250F,기아,K5(TF),KIA_K5,2010-05-04,2011-06-20,2024-10-11,98429,특정 조건의 정면 충돌 사고시 전기적 과부하로 인한 에어백제어장치(ACU)의 내부 소자 손상으로 인해 에어백이 전개되지 않을 가능성(추정)이 있는 결함,탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-707B145DAEE07DFC,기아,K5(TF HEV),KIA_K5,2011-05-03,2013-11-25,2024-10-11,23749,특정 조건의 정면 충돌 사고시 전기적 과부하로 인한 에어백제어장치(ACU)의 내부 소자 손상으로 인해 에어백이 전개되지 않을 가능성(추정)이 있는 결함,탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-C06032475C9538CB,현대자동차,쏘나타(YF),HYU_SONATA,2009-03-11,2012-01-06,2024-10-11,270847,"현대자동차㈜에서는 쏘나타(YF), 쏘나타 하이브리드(YF HEV) 일부 차량에서 특정 조건의 정면 충돌 사고시 전기적 과부하로 인한 에어백 제어장치(ACU)의 내부 소자 손상으로 인해 에어백이 전개되지 않을 가능성(추정)이 있는 결함이 확인되어 제작결함 시정을 하고자 함.",탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-224D7C420964BEDB,현대자동차,쏘나타 하이브리드 (YF HEV),HYU_SONATA,2011-02-15,2014-10-31,2024-10-11,41897,"현대자동차㈜에서는 쏘나타(YF), 쏘나타 하이브리드(YF HEV) 일부 차량에서 특정 조건의 정면 충돌 사고시 전기적 과부하로 인한 에어백 제어장치(ACU)의 내부 소자 손상으로 인해 에어백이 전개되지 않을 가능성(추정)이 있는 결함이 확인되어 제작결함 시정을 하고자 함.",탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-247B9197555F2B4B,현대자동차,아반떼N (CN7 N),HYU_AVANTE,2021-01-06,2023-12-19,2024-10-31,5292,"G70(IK), 아반떼N(CN7 N), 벨로스터N(JS N), 코나N(OS N) 세타2 2.0T-GDI 엔진장착 차량 일부 차량에서 고압펌프 내 압력 조절 부품 내구성 부족으로 인해 고압이 지속 형성되어 엔진경고등이 점등되고 간헐적으로 주행 중 시동꺼짐 발생 가능성이 있는 결함",연료장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-F58484A41DCF3FC6,현대자동차,코나N (OS N),HYU_KONA,2020-11-03,2022-11-24,2024-10-31,560,"G70(IK), 아반떼N(CN7 N), 벨로스터N(JS N), 코나N(OS N) 세타2 2.0T-GDI 엔진장착 차량 일부 차량에서 고압펌프 내 압력 조절 부품 내구성 부족으로 인해 고압이 지속 형성되어 엔진경고등이 점등되고 간헐적으로 주행 중 시동꺼짐 발생 가능성이 있는 결함",연료장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
