model_key,manufacturer_std,model_std,generation_name,source_type,alias_name,alias_normalized,match_status,review_note,manufacturer_support_url
KIA_EV3,기아,EV3,,DEFECT,EV3,ev3,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_EV6,기아,EV6,,DEFECT,EV6,ev6,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_EV6,기아,EV6,,DEFECT,EV6 GT,ev6 gt,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K3,기아,K3,,DEFECT,K3,k3,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K3,기아,K3,,DEFECT,K3 쿱(K3 KOUP),k3 쿱 k3 koup,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K5,기아,K5,,DEFECT,K5,k5,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K5,기아,K5,,DEFECT,K5 하이브리드,k5 하이브리드,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K7,기아,K7,,DEFECT,K7,k7,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K7,기아,K7,,DEFECT,K7 하이브리드,k7 하이브리드,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K8,기아,K8,,DEFECT,K8,k8,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_K8,기아,K8,,DEFECT,K8 하이브리드,k8 하이브리드,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_NIRO,기아,니로,,DEFECT,니로 EV,니로 ev,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_NIRO,기아,니로,,DEFECT,니로 PHEV,니로 phev,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_NIRO,기아,니로,,DEFECT,니로 플러스,니로 플러스,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_NIRO,기아,니로,,DEFECT,니로 하이브리드,니로 하이브리드,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_RAY,기아,레이,,DEFECT,레이,레이,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_RAY,기아,레이,,DEFECT,레이 EV,레이 ev,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_RAY,기아,레이,,DEFECT,레이 전기차,레이 전기차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_MORNING,기아,모닝,,DEFECT,모닝,모닝,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 1.2톤,봉고iii 1 2톤,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 1.4톤,봉고iii 1 4톤,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 1톤,봉고iii 1톤,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 1톤 EV,봉고iii 1톤 ev,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 4륜구동,봉고iii 4륜구동,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ EV 내장차,봉고iii ev 내장차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ EV 윙바디,봉고iii ev 윙바디,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ EV 파워게이트,봉고iii ev 파워게이트,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ EV 플러스내장차,봉고iii ev 플러스내장차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 고급형 내장탑차,봉고iii 고급형 내장탑차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 내장차,봉고iii 내장차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 냉동차,봉고iii 냉동차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 미닫이차,봉고iii 미닫이차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 워크스루밴,봉고iii 워크스루밴,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 윙바디,봉고iii 윙바디,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 일반덤프,봉고iii 일반덤프,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 파워게이트,봉고iii 파워게이트,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 플러스 택배전용차,봉고iii 플러스 택배전용차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 플러스내장차,봉고iii 플러스내장차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 플러스냉동차,봉고iii 플러스냉동차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 하이 택배전용차,봉고iii 하이 택배전용차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
KIA_BONGO3,기아,봉고 III,,DEFECT,봉고Ⅲ 하이내장차,봉고iii 하이내장차,검증완료,원천 차명 직접 대조,https://www.kia.com/kr/customer-service/center/default
