snapshot_ym,fuel_type,registration_count
2026-07,휘발유,12338505
2026-07,경유,8314769
2026-07,엘피지,1827725
2026-07,등유,0
2026-07,전기,1131483
2026-07,알코올,1
2026-07,태양열,2
2026-07,CNG,23422
2026-07,LNG,22
2026-07,하이브리드(휘발유+전기),2775718
2026-07,하이브리드(경유+전기),68109
2026-07,하이브리드(LPG+전기),8887
2026-07,하이브리드(CNG+전기),110
2026-07,하이브리드(LNG+전기),0
2026-07,수소,37433
2026-07,수소전기,11375
2026-07,기타연료,155214
