snapshot_ym,region,passenger_count,van_count,truck_count,special_count,total_count
2026-07,서울,2768487,77907,293783,11762,3151939
2026-07,전남광주,1658652,48779,350549,14155,2072135
2026-07,부산,1361524,33035,181094,12660,1588313
2026-07,대구,1081504,24467,157256,5675,1268902
2026-07,인천,1513771,35582,200364,9668,1759385
2026-07,대전,646831,15199,84180,4030,750240
2026-07,울산,523811,11924,73899,4030,613664
2026-07,세종,184382,3674,16971,1058,206085
2026-07,경기,5732679,160651,851522,32821,6777673
2026-07,충북,767943,24407,166700,6937,965987
2026-07,충남,1021785,33938,237712,8654,1302089
2026-07,경북,1195455,40173,325513,11455,1572596
2026-07,경남,1683253,42435,299630,11701,2037019
2026-07,제주,620790,16144,92638,2246,731818
2026-07,강원,690685,22733,164592,5853,883863
2026-07,전북,783926,26292,194357,6492,1011067
2026-07,전국,22235478,617340,3690760,149197,26692775
