year,passenger_count,van_count,truck_count,special_count,total_count
2019,19177517,811799,3592586,95464,23677366
2020,19860955,783842,3615245,105937,24365979
2021,20410648,749968,3631975,118510,24911101
2022,20952759,723961,3696317,130041,25503078
2023,21390202,694574,3726400,138025,25949201
2024,21771120,666166,3716743,143890,26297919
2025,22038603,633824,3695232,147214,26514873
