"접수일자","제작사","차명","모델년도"
"2020-12-31","기아자동차(주)","레이","2012"
"2020-12-31","현대자동차(주)","G70","2019"
"2020-12-31","현대자동차(주)","쏘나타 (SONATA)","2011"
"2020-12-31","기아자동차(주)","K9","2020"
"2020-12-31","현대자동차(주)","쏘나타 (SONATA)","2011"
"2020-12-31","아우디폭스바겐코리아(주)","Q7 45 TFSI quattro","2019"
"2020-12-31","현대자동차(주)","투싼(TUCSON)","2019"
"2020-12-30","포드세일즈서비스코리아(유)","이스케이프","2009"
"2020-12-30","아우디폭스바겐코리아(주)","Q7 45 TFSI quattro","2019"
"2020-12-31","기아자동차(주)","K5","2012"
"2020-12-31","한국지엠(주)","말리부 1.35 TURBO","2021"
"2020-12-31","현대자동차(주)","그랜저(GRANDEUR)","2017"
"2020-12-31","현대자동차(주)","투싼(TUCSON)","2021"
"2020-12-30","(주)볼보자동차코리아","볼보 S60D4","2014"
"2020-12-31","(주)볼보자동차코리아","볼보 S60B5","2021"
"2020-12-31","아우디폭스바겐코리아(주)","A4 2.0 TFSI Quattro","2010"
"2020-12-31","기아자동차(주)","쏘렌토 하이브리드","2021"
"2020-12-30","아우디폭스바겐코리아(주)","Q7 45 TDI quattro","2020"
"2020-12-31","현대자동차(주)","투싼(TUCSON)","2016"
"2020-12-31","현대자동차(주)","GV80","2020"
"2020-12-31","현대자동차(주)","아반떼(AVANTE)","2021"
"2020-12-31","기아자동차(주)","K5","2012"
"2020-12-31","르노삼성자동차(주)","SM6","2016"
"2020-12-31","현대자동차(주)","코나 하이브리드(KONA HYBRID)","2021"
"2020-12-30","기아자동차(주)","셀토스","2020"
"2020-12-31","르노삼성자동차(주)","QM6","2017"
"2020-12-31","비엠더블유코리아(주)","BMW 530e","2021"
"2020-12-31","기아자동차(주)","K5","2012"
"2020-12-31","현대자동차(주)","쏘나타 (SONATA)","2011"
"2020-12-31","현대자동차(주)","쏘나타 (SONATA)","2011"
"2020-12-30","비엠더블유코리아(주)","BMW 530e iPerformance Luxury","2020"
"2020-12-30","아우디폭스바겐코리아(주)","A4 30 TDI","2015"
"2020-12-29","현대자동차(주)","쏠라티(SOLATI)","2020"
"2020-12-30","기아자동차(주)","쏘렌토 하이브리드","2021"
"2020-12-29","르노삼성자동차(주)","QM6","2017"
"2020-12-30","기아자동차(주)","쏘렌토 하이브리드","2021"
"2020-12-30","현대자동차(주)","투싼(TUCSON)","2017"
"2020-12-30","기아자동차(주)","쏘렌토 하이브리드","2021"
"2020-12-30","아우디폭스바겐코리아(주)","Passat 2.0 TSI","2018"
